sn,datatype,location,animal,aname,areaid,timebinid,pn,start,end,startreason,endreason,stdate,sttime,algostatus,phename,expdur,period,entct,emptyct,emptydur,inact,inadur,inadist,smlct,smldur,smldist,larct,lardur,lardist,operator,locationcode,samplecode,active,parallelize,bkgrefreshdelay,savetodisk,skipimagecount,showdetectioninexperiment,showdetection,hdetthr,ldetthr,anicolor,xminsize,xscale,yscale,scaleunit,behavname,jitter,outSideOnError,smllarthr,inasmlthr
1,Locomotion,LocA01,,A01_Name,2,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,1,753.158,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA02,,A02_Name,5,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,1,753.158,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA03,,A03_Name,6,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,1,0,0,1,10.002,4.382,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA04,,B01_Name,7,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,1,0,0,4,9.668,19.744,3,0.334,1.674,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA05,,B02_Name,8,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,1,1,0.033,9,8.703,13.342,13,0.799,4.173,6,0.467,5.224,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA06,,B03_Name,9,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,1,753.158,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA07,,C01_Name,10,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,1,753.158,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA08,,C02_Name,11,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,1,753.158,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA09,,C03_Name,12,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,1,0,0,2,9.902,17.94,1,0.099,0.31,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA10,,D01_Name,13,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,1,753.158,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA11,,D02_Name,14,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,1,0,0,1,10.002,13.866,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA12,,D03_Name,15,2,1,0,10,Beginning of period,End of period,6/21/2023,12:08:00,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,1,753.158,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA01,,A01_Name,2,2,2,10,20,Beginning of period,End of period,6/21/2023,12:08:10,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,0,10.026,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA02,,A02_Name,5,2,2,10,20,Beginning of period,End of period,6/21/2023,12:08:10,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,0,10.026,0,0,0,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA03,,A03_Name,6,2,2,10,20,Beginning of period,End of period,6/21/2023,12:08:10,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,0,0,0,10.026,5.638,0,0,0,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA04,,B01_Name,7,2,2,10,20,Beginning of period,End of period,6/21/2023,12:08:10,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,0,0,5,9.26,18.507,5,0.767,3.878,0,0,0,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
1,Locomotion,LocA05,,B02_Name,8,2,2,10,20,Beginning of period,End of period,6/21/2023,12:08:10,,C:\Users\ZEB8251\Documents\ViewPoint Data\Green Beans\12wConfigFile.phe,1:00:00,0:00:10,0,0,0,9,8.527,13.442,12,0.865,4.706,5,0.634,11.659,ZEB8251,,,1,0,0,0,1,0,0,255,20,black,2,0.131717,0.131717,mm,Locomotion,0,0,8,4
